Type,Distillery,Whiskeys
Single Malt,Balblair,"['Balblair 2005 Bot.2018', 'Balblair 2003', 'Balblair 12 Year Old Bourbon Cask G&M Discovery', 'Balblair 2011 6 Year Old Sherry Cask AD Rattray', 'Balblair 1997 Gordon & MacPhail TWE Exclusive', 'Balblair 19 Year Old Art of Whisky Mashing', 'Balblair 5 Year Old Bot.1980s', 'Balblair 1991 3rd Release', 'Balblair 1980 Bot. 2013 Gordon & Macphail', 'Balblair VH Bot.1970s', 'Balblair VH Bot.1970s', 'Balblair Bot.1960s', 'Balblair Bot.1960s', 'Balblair 1969 31 Year Old', 'Balblair 33 Year Old']"
Single Malt,Ballechin,"['Ballechin 10 Year Old Heavily Peated', 'Ballechin 2005 11 Year Old Bordeaux', 'Ballechin 2004 13 Year Old Port Cask #213', 'Ballechin 2004 13 Year Old Burgundy Cask #41', 'Ballechin 2005 12 Year Old Bordeaux Cask', 'Ballechin 2005 11 Year Old Cask 423 The Ultimate', 'Ballechin 2004 12 Year Old Bourbon Barrel TWE']"
Single Malt,Balmenach,"['Balmenach 2006 12 Year Old Old Particular', 'Balmenach 2004 13 Year Old Old Malt Cask', 'Balmenach 2004 13 Year Old Old Malt Cask', 'Balmenach 2004 13 Year Old BLM.418 Hidden Spirits', 'Balmenach 10 Year Old Bot.1990s', 'Balmenach 1990 13 Year Old Adelphi', 'Balmenach 1971 16 Year Old Connoisseurs Choice']"
Single Malt,Balvenie,"['Balvenie 12 Year Old Double Wood Small Bottle', 'Balvenie 12 Year Old DoubleWood', 'Balvenie 14 Year Old Caribbean Cask', 'Balvenie 2002 Peat Week 14 Year Old', 'Balvenie 2003 Peat Week 14 Year Old', 'Balvenie 17 Year Old DoubleWood', 'Balvenie 21 Year Old Port Wood', 'Balvenie Tun 1509 Batch 4', 'Balvenie 8 Year Old Bot.1970s', 'Balvenie Classic Bot.1980s', 'Balvenie 25 Year Old Triple Cask', 'Balvenie Classic Bot.1980s', 'Balvenie Tun 1509 Batch 3', 'Balvenie 1974 15 Year Old Dun Eideann', 'Balvenie 18 Year Old Classic Bot.1980s', 'Balvenie 30 Year Old', 'Balvenie Tun 1401 Batch 7', 'Balvenie 12 Year Old Classic Bot.1980s', 'Balvenie 12 Year Old Classic Bot.1980s', 'Balvenie 12 Year Old Classic Bot.1980s']"
Single Malt,Banff,"['Banff 1974 Bot.1980s Connoisseurs Choice', 'Banff 1980 23 Year Old Duncan Taylor', 'Banff 1980 26 Year Old Duncan Taylor', 'Banff 1982 21 Year Old Rare Malts', 'Banff 1976 27 Year Old Blackadder', 'SMWS 67.2 1980 Bot.1990 9 Year Old', 'Banff 1966 31 Year Old Old Malt Cask']"
Single Malt,Ben Nevis,"[""McDonald's Traditional Ben Nevis"", 'Ben Nevis 10 Year Old', 'Ben Nevis 2006 12 Year Old Old Particular', 'Ben Nevis 2001 16 Year Old Old Malt Cask', 'Ben Nevis 2001 16 Year Old Raw Cask', 'Ben Nevis 1996 22 Year Old Old Particular', 'Ben Nevis 1997 20 Year Old Berry Bros & Rudd', 'Ben Nevis 1996 19 Year Old Jack Wiebers Fighting Fish', 'Ben Nevis 1991 26 Year Old Sherry Cask Signatory', 'Ben Nevis 1991 26 Year Old Signatory', 'Ben Nevis 1990 27 Year Old Signatory 30th Anniversary', 'Ben Nevis 1991 25 Year Old', 'SMWS 78.13 1984 13 Year Old', 'SMWS 78.2 1977 12 Year Old', 'SMWS 78.1 1966 23 Year Old', 'Ben Nevis 1966 25 Year Old Sherry Cask']"
Single Malt,Ben Wyvis,['Ben Wyvis 1965 37 Year Old']
Single Malt,Benriach,"['Benriach Heart of Speyside', 'Benriach Birnie Moss Intensely Peated', 'Benriach 10 Year Old', 'Benriach 10 Year Old Curiositas Peated', 'Benriach Peated Quarter Casks', 'Benriach Cask Strength Batch 1', 'Benriach Peated Cask Strength Batch 1', 'Benriach Cask Strength Batch 2', 'Benriach 17 Year Old Pedro Ximenez Finish', 'Benriach 17 Year Old Septendecim', 'Benriach 16 Year Old', 'Benriach 21 Year Old Tawny Port Finish', 'Benriach 20 Year Old', 'Benriach 21 Year Old Classic', 'Benriach 21 Year Old Temporis Peated', 'Benriach 22 Year Old Dark Rum', 'Benriach 22 Year Old Dunder', 'Benriach 22 Year Old Albariza', 'Benriach 25 Year Old Authenticus Peated Malt', ""Benriach 42 Year Old Director's Special Whisky Show""]"
Single Malt,Benrinnes,"['Benrinnes 2006 11 Year Old Provenance', 'Benrinnes 15 Year Old', ""Benrinnes 2008 10 Year Old Claxton's"", 'Benrinnes 2003 14 Year Old Old Malt Cask', 'Benrinnes 2003 15 Year Old Old Particular', 'Benrinnes 1997 20 Year Old First Editions', 'Benrinnes 1995 21 Year Old Signatory', 'Benrinnes 1996 20 Year Old Kingsbury', 'Benrinnes 1991 26 Year Old Single Malts of Scotland', 'Benrinnes 1995 22 Year Old Carn Mor', 'Benrinnes 1992 21 Year Old Special Releases 2014', 'Benrinnes 1984 33 Year Old Adelphi Limited', ""Benrinnes 1996 12 Year Old Managers' Choice"", 'Benrinnes 1984 30 Year Old Cask 2268 Silver Seal', 'SMWS 36.15 1970 28 Year Old']"
Single Malt,Benromach,"['Benromach 10 Year Old Small Bottle', 'Benromach 10 Year Old', 'Benromach 2009 Bot.2017 Chateau Cissac Finish', 'Benromach 2010 Sassicaia Finish', 'Benromach 2009 Triple Distilled Bot.2017', 'Benromach 10 Year Old Note Book Gift Set', 'Benromach 10 Year Old 100 Proof', 'Benromach 15 Years Old', 'Benromach 17 Year Old Centenary Bottling', 'Benromach 1971 Bot.1994 Connoisseurs Choice', 'Benromach 1968 27 Year Old Port Wood Murray McDavid']"
