Type,Distillery,Whiskeys
Single Malt,Dallas Dhu,"['Dallas Dhu 1970 18 Year Old Connoisseurs Choice', 'Dallas Dhu 1970 32 Year Old Coopers Choice', ""Dallas Dhu 23 Year Old Queen's Golden Jubilee"", 'Dallas Dhu Centenary', 'Dallas Dhu 1983 23 Year Old Historic Scotland', 'Dallas Dhu Millennium 1974 25 Year Old']"
Single Malt,Dalmore ,"['Dalmore 12 Year Old', 'Dalmore 15 Year Old', 'Dalmore Port Wood Reserve', 'Dalmore Cigar Malt', 'Dalmore Luceo', 'Dalmore Dominium', 'Dalmore 18 Year Old', 'Dalmore King Alexander III', 'Dalmore 12 Year Old Bot.1980s', 'Dalmore 12 Year Old Bot.1980s', 'Dalmore 12 Year Old Bot.1980s', ""Dalmore 1991 Bot.2009 MacKillop's Choice"", 'Dalmore 12 Year Old Bot.1980s', 'Dalmore 12 Year Old Bot.1980s', 'Dalmore Quintessence', 'Dalmore 8 Year Old Bot.1970s', 'Dalmore 12 Year Old Bot.1970s', 'Dalmore 12 Year Old Bot.1970s', 'Dalmore 1973 33 Year Old Haut Marbuzet Finish', 'Dalmore 35 Year Old']"
Single Malt,Dalwhinnie,"['Dalwhinnie 15 Year Old Small Bottle', 'Dalwhinnie 15 Year Old', ""Dalwhinnie Winter's Gold"", 'Dalwhinnie 2002 Distillers Edition Bot.2017', 'Dalwhinnie 1997 Bot.2014 Distillers Edition', 'Dalwhinnie 1997 Bot.2013 Distillers Edition', 'Dalwhinnie 2000 Distillers Edition Bot.2016', 'Dalwhinnie 1996 Bot.2012 Distillers Edition', 'Dalwhinnie 1987 25 Year Old Special Releases 2012', 'Dalwhinnie 15 Year Old Bot.1980s', 'Dalwhinnie 8 Year Old Bot.1980s', 'Dalwhinnie 8 Year Old Bot.1980s', 'Dalwhinnie 1966 36 Year Old']"
Single Malt,Deanston,"['Deanston Virgin Oak', 'Deanston 2008 9 Year Old Brandy Cask Finish', 'Deanston 15 Year Old Organic', 'Deanston 2006 11 Year Old Signatory', 'Deanston 2006 11 Year Old Signatory', 'Deanston 1999 18 Year Old Valinch & Mallet', 'Deanston 8 Year Old Bot.1980s', 'Deanston 1999 19 Year Old Daily Drams', 'Deanston 8 Year Old Bot.1980s', 'Deanston Malt Bot.1970s', 'Deanston Mill 8 Year Old Bot.1980s', 'Deanston Mill Bot.1970s', 'Deanston Mill Bot.1970s', 'Deanston 40 Year Old']"
Single Malt,Deveron,"['The Deveron 12 Year Old', 'The Deveron 18 Year Old']"
Single Malt,Dufftown,"['Dufftown 8 Year Old Bot.1980s', 'Dufftown 8 Year Old Bot.1980s', 'Dufftown Glenlivet 8 Year Old Bot.1980s', 'Dufftown-Glenlivet 8 Year Old Bot.1980s', 'Dufftown-Glenlivet 10 Year Old Bot.1990s Litre', 'Dufftown-Glenlivet 8 Year Old Bot.1970s', 'Dufftown-Glenlivet 8 Year Old Bot.1970s', 'Dufftown-Glenlivet 8 Year Old Bot.1970s', 'Dufftown-Glenlivet 8 Year Old Bot.1970s', 'Dufftown-Glenlivet 12 Year Old Bot.1980s', 'Dufftown-Glenlivet 8 Year Old Bot.1960s', 'Dufftown 8 Year Old Bot.1960s', 'Dufftown 1965 35 Year Old Old Malt Cask', 'Dufftown-Glenlivet 8 Year Old Bot.1960s']"
Single Malt,Dunglass,"['Dunglas 1967', 'Dunglass 1967 22 Year Old Dun Eideann']"
Single Malt,Edradour,"['Edradour 10 Year Old', 'Edradour 12 Year Old Caledonia Selection Oloroso Cask', 'Edradour 10 Year Old Glass Pack', 'Edradour Ballechin Double Malt 8 Year Old', 'Edradour 2008 10 Year Old Sherry Butt', 'Edradour 2008 10 Year Old Sherry Cask', 'Edradour 12 Year Old Caledonia Selection Glass Pack', 'Edradour 2007 10 Year Old Bourbon Cask', 'Edradour 2008 8 Year Old Cask 118 The Ultimate', 'Edradour 2005 13 Year Old Sherry Cask Ibisco Decanter', 'Edradour 2005 12 Year Old Sherry Cask TWE Exclusive', 'Edradour 2000 16 Year Old Barolo Finish', 'Edradour 1999 17 Year Old Bordeaux Finish', 'Edradour 10 Year Old Bot.1990s', 'Edradour 10 Year Old Bot.1990s', 'Edradour 1998 19 Year Old Velier 70th Anniversary', 'Edradour 1993 22 Year Old Sauternes Cask', 'Edradour 1995 21 Year Old Oloroso Finish']"
Single Malt,Fettercairn,"['Fettercairn 12 Year Old', 'Old Fettercairn 10 Year Old Bot.1980s', 'Old Fettercairn Bot.1970s', 'Fettercairn 28 Year Old', 'Fettercairn 40 Year Old']"
Single Malt,Finlaggan,"['Finlaggan Original Peaty', 'Finlaggan Eilean Mor Small Batch']"
Single Malt,Glen Albyn,"['Glen Albyn 10 Year Old Bot.1970s', 'Glen Albyn 10 Year Old Bot.1970s', 'Glen Albyn 10 Year Old Bot.1970s', 'Glen Albyn 10 Year Old Bot.1970s', 'Glen Albyn 10 Year Old Bot.1970s', ""Glen Albyn 1963 15 Year Old Cadenhead's""]"
Single Malt,Glen Deveron,['Glen Deveron 8 Year Old Bot. 1970s']
Single Malt,Glen Elgin,"['Glen Elgin 12 Year Old', 'Glen Elgin 1995 21 Year Old Single Malts of Scotland', 'Glen Elgin 1995 21 Year Old Single Malts of Scotland', 'Glen Elgin 1995 22 Year Old Signatory', 'Glen Elgin 1995 22 Year Old Acorn', 'Glen Elgin 1995 22 Year Old Kreuzritter', 'Glen Elgin White Horse Bot.1990s', 'Glen Elgin 12 Year Old Bot.1970s', 'Glen Elgin 1998 18 Year Old Special Releases 2017', ""Glen Elgin 1998 Managers' Choice"", 'Glen Elgin 19 Year Old Centenary', 'Glen Elgin 14 Year Old United Distillers Christmas 1990', 'Glen Elgin 1971 32 Year Old']"
Single Malt,Glen Flagler,"['Glen Flagler Bot.1970s', 'Glen Flagler 5 Year Old Bot.1970s', 'Glen Flagler 8 Year Old Bot.1970s', 'Glen Flagler 5 Year Old Bot.1980s Large bottle', 'Glen Flagler 8 Year Old Bot.1970s', 'Glen Flagler 8 Year Old Bot.1970s', 'Glen Flagler Bot.1970s', 'Glenflagler 1972 23 Year Old Signatory', 'Glen Flagler 1972 24 Year Old Signatory', 'Glen Flagler 8 Year Old Bot.1970s', 'Glen Flagler 8 Year Old Bot.1970s', 'Glen Flagler 1970 23 Year Old Signatory', 'Glenflagler 1972 23 Year Old Signatory', 'Glen Flagler 1973 30 Year Old']"
Single Malt,Glen Garioch,"['Glen Garioch 12 Year Old', 'Glen Garioch 1997 Small Batch Release', 'Glen Garioch 1993 24 Year Old OMC 20th Anniversary Bottling', 'Glen Garioch 1990 Signatory for Whisky Show Old & Rare', 'Glen Garioch 1990 24 Year Old Jack Wiebers Fighting Fish', 'Glen Garioch 1990 25 Year Old Artist #7 LMDW', 'Glen Garioch 1970 27 Year Old', 'Glen Garioch 1968 29 Year Old Cask #621', 'Glen Garioch Bicentenary 37 Year Old', 'Glen Garioch 1968 29 Year Old Cask No.614', 'Glen Garioch 1968 29 Year Old Cask #9', 'Glen Garioch 1968 29 Year Old Cask #626', 'Glen Garioch 1958 46 Year Old']"
Single Malt,Glen Grant,"[""Glen Grant The Major's Reserve"", 'Glen Grant 10 Year Old', 'Glen Grant 1995 22 Year Old A D Rattray', 'Glen Grant 18 Year Old', 'Glen Grant 1995 22 Year Old Kingsbury', 'Glen Grant 18 Year Old + 2 Glasses Pack', 'Glen Grant 10 Year Old Bot.1970s', 'Glen Grant 1980 5 Year Old', 'Glen Grant 12 Years Bot.1970s', 'Glen Grant 12 Year Old Bot.1970s', 'Glen Grant 1970 5 Year Old', 'Glen Grant 15 Year Old Bot.1970s G&M', 'Glen Grant 1966 5 Year Old', 'Glen Grant 1976 20 Year Old Sherry Cask First Cask', 'Glen Grant 1969 5 Year Old Gordon & MacPhail', 'Glen Grant 15 Year Old 100 Proof Bot.1970s G&M', ""Glen Grant 20 Year Old Director's Reserve"", 'Glen Grant 25 Year Old Royal Marriage', 'Glen Grant 1976 32 Year Old Sherry Butt Old Malt Cask', 'Glen Grant 1966 Gordon & Macphail']"
Single Malt,Glen Keith ,"['Glen Keith Distillery Edition', 'Glen Keith 1997 20 Year Old Signatory', 'Glen Keith 10 Year Old', 'Glen Keith 1996 21 Year Old First Editions', 'Glen Keith 1995 21 Year Old Berry Bros & Rudd', 'Glen Keith 1991 26 Year Old Signatory', 'Glen Keith 1994 23 Year Old Berry Bros & Rudd', 'Glen Keith 1993 24 Year Old Daily Drams', 'Glen Keith 1993 24 Year Old Connoisseurs Choice', 'Glen Keith 1983 Litre', 'Glen Keith 1988 29 Year Old Carn Mor', 'Glen Keith 1968 Bot.2008 Connoisseurs Choice', 'Glen Keith 1967 21 Year Old Signatory']"
Single Malt,Glen Mhor ,"['Glen Mhor 1965 Bot.2007 Gordon & MacPhail', 'Glen Mhor 10 Year Old Bot.1970s', 'Glen Mhor 10 Year Old Bot.1970s', 'Glen Mhor 1965 35 Year Old', 'Glen Mhor 6 Year Old Bot.1960s', 'Glen Mhor 10 Year Old Bot.1960s', 'Glen Mhor 6 Year Old Bot.1970s', 'Glen Mhor 1965 50 Year Old Rare Reserve']"
Single Malt,Glen Moray,"['Glen Moray Classic', 'Glen Moray Peated', 'Glen Moray Sherry Cask Finish', 'Glen Moray 10 Year Old Chardonnay Cask', 'Glen Moray Peated Glass Set', 'Glen Moray Classic Glass Set', 'Glen Moray Port Cask Finish Glass Set', 'Glen Moray 12 Year Old', 'Glen Moray Fired Oak 10 Year Old', 'Glen Moray 15 Year Old', 'Glen Moray 8 Year Old Bot.1990s', 'Glen Moray 8 Year Old Time Series III', 'Glen Moray 2007 9 Year Old North Star', 'Glen Moray Cider Cask Project', 'Glen Moray 2007 10 Year Old Single Malts of Scotland', 'Glen Moray 18 Year Old', 'Glen Moray 1995 22 Year Old Adelphi', 'Glen Moray 1988 25 Year Old Port Finish Batch 3', 'Glen Moray 10 Year Old Bot.1970s', 'Glen Moray 1982 13 Year Old Adelphi']"
Single Malt,Glen Ord,"['Singleton of Glen Ord 15 Year Old', 'Ord 12 Year Old Bot.1970s', 'Glen Ord 28 Year Old', 'Glen Ord 1973 23 Year Old Rare Malts']"
Single Malt,Glen Scotia,"['Glen Scotia Double Cask', 'Glen Scotia 2008 Ruby Port Finish Campbeltown Fest 2018', 'Glen Scotia 15 Year Old', 'Glen Scotia Victoriana Cask Strength Batch 1', 'Glen Scotia 18 Year Old 2017 Release', ""Glen Scotia 1992 Bot.2015 The MacPhail's Collection"", 'Glen Scotia 1992 The Whisky Agency TWE Exclusive', 'Glen Scotia 1992 26 Year Old Connoisseurs Choice', 'Glen Scotia 25 Year Old', 'Glen Scotia 5 Year Old Bot.1960s', 'Glen Scotia 1969 30 Year Old Old Malt Cask']"
Single Malt,Glen Spey,"['Glen Spey 12 Year Old', 'Glen Spey 1997 21 Year Old Old Malt Cask', 'Glen Spey 1991 25 Year Old AD Rattray', ""Glen Spey 1996 Managers' Choice"", 'Strathspey (Glen Spey) Bot.1970s', 'Glen Spey 8 Year Old Bot.1980s', 'Glen Spey 8 Year Old Bot.1990s', 'Glen Spey 8 Year Old Bot.1980s', 'Glen Spey 8 Year Old Bot.1980s', 'Glen Spey 21 Year Old Bot.1980s James MacArthur']"
Single Malt,Glenallachie,"['Glenallachie Distillery Edition', 'Glenallachie 12 Year Old', 'Glenallachie 10 Year Old Cask Strength Batch 2', 'Glenallachie 1999 Bot.2015 Connoisseurs Choice', 'GlenAllachie 2008 10 Year Old', 'GlenAllachie 2007 11 Year Old Single Cask', 'GlenAllachie 2006 12 Year Old Single Cask', 'GlenAllachie 2006 12 Year Old Single Cask', 'GlenAllachie 2005 13 Year Old Single Cask', 'Glenallachie 18 Year Old', 'Glenallachie 1996 21 Year Old Signatory', 'Glenallachie 1992 25 Year Old Old Particular', 'Glenallachie 1991 Bot.2018 Cask#100285', 'Glenallachie 1990 Bot.2018 Cask#2515', 'Glenallachie 1990 Bot.2018 Cask#2517', 'Glenallachie-Glenlivet 12 Year Old Bot.1980s', 'Glenallachie-Glenlivet 12 Year Old Bot.1980s', 'Glenallachie-Glenlivet 12 Year Old Bot.1980s', 'Glenallachie 25 Year Old', 'Glenallachie 1989 Bot.2018 Cask #986']"
Single Malt,Glenburgie,"['Glenburgie 1998 16 Year Old Chieftains', 'Glenburgie 21 Year Old Bot.2018 G&M Distillery Labels', 'Glenburgie 1997 21 Year Old Old Particular', 'Glenburgie 1995 22 Year Old Signatory', 'Glenburgie 1995 19 Year Old First Cask', 'Glenburgie 1988 30 Year Old Connoisseurs Choice', 'Glenburgie 5 Year Old Bot.1970s', 'Glenburgie 1985 195th Anniversary', 'SMWS 71.8 1978 Bot.1992', 'Glenburgie 1964 Gordon & Macphail', 'Glenburgie 1966 Bot.2012', 'Glenburgie 1966 Bot.2014 Gordon & MacPhail']"
Single Malt,Glencadam,"['Glencadam Origin 1825 Sherry Cask Finish', 'Glencadam 13 Year Old The Re-Awakening', 'Glencadam 15 Year Old', 'Glencadam 18 Year Old', 'Glencadam 21 Year Old', 'Glencadam 17 Year Old Portwood Finish Triple Cask', 'Glencadam 19 Year Old Oloroso Sherry Finish', 'Glencadam 1991 Bot.2013 Connoisseurs Choice', 'Glencadam 1991 26 Year Old TWE Exclusive G&M', 'Glencadam 25 Year Old The Remarkable', 'Glencadam St. Michael For Marks & Spencer', 'Glencadam 1982 33 Year Old', 'Glencadam 12 Year Old Bot.1980s', 'Glencadam 12 Year Old Bot.1980s', 'Glencadam 1972 29 Year Old Silent Stills Signatory']"
Single Malt,Glencraig,"['Glencraig 1976 40 Year Old Rare Reserve Signatory', 'Glencraig 1976 42 Year Old Signatory 30th Anniversary']"
Single Malt,Glendronach,"['Glendronach 8 Year Old The Hielan', 'Glendronach 12 Year Old Original', 'Glendronach Peated', 'Glendronach Cask Strength Batch 7', 'Glendronach 12 Year Old Original Bot.1980s Half Litre', 'Glendronach 12 Year Old Traditional Bot.1990s', 'Glendronach 12 Year Old Original Bot.1980s', 'Glendronach 12 Year Old Bot.1980s', 'Glendronach 8 Year Old Bot.1980s', 'Glendronach 12 Year Old Bot.1980s', 'Glendronach 8 Year Old Bot.1980s', 'Glendronach 12 Year Old Bot.1970s', 'Glendronach 12 Year Old Bot.1970s', 'Glendronach 1963 12 Year Old Bot.1970s', 'Glendronach Grandeur 25 Year Old Batch 8', 'Glendronach 1977 18 Year Old Sherry Cask', 'Glendronach 1975 18 Year Old Sherry Cask', 'Glendronach 1973 18 Year Old Sherry Cask', 'Glendronach 1976 18 Year Old Sherry Cask', 'Glendronach 1974 18 Year Old Sherry Cask']"
Single Malt,Glendullan,"['Glendullan 2010 8 Year Old Provenance', 'Glendullan 1993 25 Year Old Connoisseurs Choice', 'Glendullan Centenary 16 Year Old', 'Glendullan 12 Year Old Bot.1980s', ""Glendullan 1995 13 Year Old Managers' Choice"", 'Glendullan 12 Year Old Bot.1980s', 'Singleton of Glendullan 38 Year Old Special Releases 2014']"
Single Malt,Glenesk ,"['Glenesk 5 Year Old', 'Glenesk 12 Year Old Bot.1980s', 'Glenesk 1982 Bot.1994 Connoisseurs Choice', 'Glenesk 1984 Bot.2004 Connoisseurs Choice', 'Glenesk 1982 Bot.1995 Connoisseurs Choice', 'Glenesk 1982 Bot.1994 Connoisseurs Choice', 'Glenesk 12 Year Old Bot.1980s', 'Glenesk 12 Year Old Bot.1980s', 'Glenesk 12 Year Old Bot.1980s', ""Glen Esk 1984 31 Year Old Cooper's Choice"", 'Glenesk 1979 Rare Old Gordon & Macphail', 'Glenesk 1980 Rare Old Gordon & MacPhail', 'Glenesk 1974 26 Year Old Signatory', 'Glenesk 1974 27 Year Old Signatory', 'Glenesk Maltings 1969 25th Anniversary', 'Glenesk 1974 30 Year Old Old Malt Cask', 'Glenesk Bot.1970s', 'Glenesk 1971 30 Year Old Silver Seal', 'Glen Esk 1983 30 Year Old 54.4% 70cl Statement No.11']"
Single Malt,Glenfarclas,"['Glenfarclas 12 Year Old Half Bottle', 'Glenfarclas Team The Legend of Speyside', 'Glenfarclas Passion The Legend of Speyside', 'Glenfarclas 105°', 'Glenfarclas 12 Year Old Litre', 'Glenfarclas 105 Gift Pack with 2 Miniatures 15 Year Old & 21 Year Old', 'Glenfarclas 15 Year Old', 'Glenfarclas 105° Litre', 'Glenfarclas 2007 Marriage of Casks TWE Exclusive', 'Glenfarclas 15 Year Old 103° Proof TWE Exclusive', 'Glenfarclas £511.19s.0d Family Reserve', 'Glenfarclas 21 Year Old', 'Glenfarclas 17 Year Old', 'Glenfarclas 25 Year Old', 'Glenfarclas 105° Old Presentation Litre', 'Speyside Finest 1986 30 Year Old Xtra Old Particular', 'Glenfarclas 8 Year Old Bot.1980s', 'Glenfarclas 8 Year Old Bot.1980s', 'Glenfarclas-Glenlivet 7 Year Old Bot.1970s', 'Glenfarclas 5 Year Old Bot.Early 1970s']"
Single Malt,Glenfiddich,"['Glenfiddich 12 Year Old Small Bottle', 'Glenfiddich 15 Year Old Small Bottle', 'Glenfiddich 12 Year Old Half bottle', 'Glenfiddich 12 Year Old', 'Glenfiddich 15 Year Old Solera', 'Glenfiddich Fire and Cane Experimental Series #04', 'Glenfiddich Collection 3x20cl', 'Glenfiddich Project XX Experimental Series', 'Glenfiddich 21 Year Old Reserva Rum Finish Small Bottle', 'Glenfiddich IPA Cask Experimental Series', 'Glenfiddich Select Cask Litre', ""Glenfiddich Malt Master's Edition Sherry Cask Finish"", ""Glenfiddich Malt Master's Sherry Finish Glass Pack"", 'Glenfiddich 18 Year Old', 'Glenfiddich The Original', 'Glenfiddich Vintage Cask', 'Glenfiddich Pure Malt Special Old Reserve Bot.1980s', 'Glenfiddich 19 Year Old Age of Discovery Bourbon', 'Glenfiddich 19 Year Old Age of Discovery Red Wine', 'Glenfiddich 21 Year Old Reserva Rum Cask Finish']"
Single Malt,Glenfyne,['Glamis 10 Year Old Glenfyne Distillery Bot.1930s']
Single Malt,Glenglassaugh,"['Glenglassaugh Torfa', 'Glenglassaugh Evolution', 'Glenglassaugh Port Wood Finish', 'Glenglassaugh Octaves Classic Batch 2', 'Glenglassaugh PX Sherry Wood Finish', 'Glenglassaugh Peated Virgin Oak Finish', 'Glenglassaugh Octaves Peated Batch 2', 'Glenglassaugh 12 Year Old Bot.1990s', 'Glenglassaugh 19 Year Old', 'Glenglassaugh 26 Year Old', 'Glenglassaugh 1978 33 Year Old Chosen Few', 'SMWS 21.7 1967 Bot.1991 24 Year Old Sherry Cask', 'Glenglassaugh 1973 42 Year Old Rare Cask Release Batch 3', 'Glenglassaugh 1972 44 Year Old Rare Cask Release Batch 3', 'Glenglassaugh 1967 49 Year Old Rare Cask Release Batch 3']"
Single Malt,Glengoyne,"['Glengoyne 10 Year Old Small Bottle', 'Glengoyne 15 Year Old Small Bottle', 'Glengoyne 18 Year Old Small Bottle', 'Glengoyne 10 Year Old', 'Glengoyne 12 Year Old', 'Glengoyne 21 Year Old Sherry Matured Small Bottle', 'Glengoyne 15 Year Old', 'Glengoyne Cask Strength Batch 6', 'Glengoyne 18 Year Old', 'Glengoyne 21 Year Old Sherry Cask', 'Glengoyne 1997 21 Year Old Old Particular']"
Single Malt,Glenisla,['Glenisla 1977 39 Year Old 70ans Velier']
Single Malt,Glenkinchie,"['Glenkinchie 12 Year Old Small Bottle', 'Glenkinchie 12 Year Old', 'Glenkinchie 2003 Distillers Edition', 'Glenkinchie 2005 Distillers Edition', 'Glenkinchie 2004 Distillers Edition', 'Glenkinchie 2000 Bot.2014 Distillers Edition', 'Glenkinchie 2000 Bot.2013 Distillers Edition', 'Glenkinchie 1990 20 Year Old', ""Glenkinchie 1992 Managers' Choice"", 'SMWS 22.2 1975 Bot.1990']"
Single Malt,Glenlivet,"['Glenlivet 12 Year Old Half Bottle', ""Glenlivet Founder's Reserve"", 'Glenlivet 12 Year Old', 'Glenlivet Nadurra First Fill Batch FF0717', ""Glenlivet Captain's Reserve"", 'Glenlivet Nadurra Peated Whisky Cask Finish Batch PW1016', 'Glenlivet Nadurra Peated Batch PW0717', 'Glenlivet 15 Year Old French Oak Reserve', 'Glenlivet Nadurra Oloroso Batch OL1117', 'Glenlivet 18 Year Old', 'Glenlivet Code', 'Glenlivet 2003 Connoisseurs Choice TWE Exclusive', 'Glenlivet 16 Year Old Nadurra Batch 0814D', 'Glenlivet 18 Year Old Inverblye Single Cask #30777', 'Glenlivet 18 Year Old Auchvaich Single Cask', 'Glenlivet 21 Year Old Archive', 'Glenlivet 14 Year Old Conglass Single Cask', 'Glenlivet 12 Year Old Bot.1970s', 'Glenlivet 16 Year Old Ladderfoot Single Cask', 'Glenlivet Blairgowrie 17 Year Old']"
Single Malt,Glenlochy ,"['SMWS 62.12 1980 Bot.2005', 'Glenlochy 1979 Bot.2012 Rare Old Gordon & Macphail', 'Glenlochy 1979 Bot.2015 Rare Old Gordon & MacPhail', 'SMWS 62.9 1979 23 Year Old', 'Glenlochy 1980 32 Year Old Signatory', 'SMWS 62.3 1979 Bot.1993', 'Glenlochy 1980 25 Year Old Signatory', 'Glenlochy 1970 29 Year Old Rare Reserve Signatory', 'Glenlochy 1980 34 Year Old Signatory', 'Glenlochy 1980 35 Year Old Rare Reserve Signatory', 'Glenlochy 1980 35 Year Old Rare Reserve', 'Glenlochy 1965 32 Year Old Silent Stills Signatory', 'Glenlochy 1969 26 Year Old Rare Malts', 'Glenlochy 1952 49 Year Old Old Malt Cask']"
Single Malt,Glenlossie,"['Glenlossie 10 Year Old', 'Glenlossie 1995 22 Year Old Carn Mor', 'Glenlossie 1982 Bot.2008 Connoisseurs Choice', ""Glenlossie 12 Year Old Manager's Dram"", 'Glenlossie 1971 Bot.1980s Connoisseurs Choice', 'Glenlossie 1980 16 Year Old Adelphi', 'Glenlossie 1981 17 Year Old Adelphi', 'Glenlossie 1984 33 Year Old Signatory 30th Anniversary', 'Glenlossie 1966 Bot.1988 The Costumes', 'Glenlossie 1938 43 Year Old Connoisseurs Choice']"
Single Malt,Glenmorangie,"['Glenmorangie 10 Year Old Half Bottle', 'Glenmorangie 10 Year Old Original', 'Glenmorangie Lasanta 12 Year Old Oloroso and PX Finish', 'Glenmorangie Quinta Ruban 12 Year Old Port Finish', ""Glenmorangie Nectar D'Or 12 Year Old Sauternes Finish"", ""Glenmorangie Midwinter Night's Dram"", 'Glenmorangie Astar 2017 Release', 'Glenmorangie Spios Private Edition 9', 'Glenmorangie The Taghta', 'Glenmorangie Tusail Private Edition', 'Glenmorangie Bacalta', 'Glenmorangie 18 Year Old', 'Glenmorangie 10 Year Old Magnum', 'Glenmorangie 18 Year Old Bot.1990s Half Bottle', 'Glenmorangie Signet', 'Glenmorangie 10 Year Old Grand Slam Dram', 'Glenmorangie Astar Bot.2008', 'Glenmorangie 10 Year Old Bot.1980s', 'Glenmorangie 10 Year Old Bot.1980s', 'Glenmorangie 10 Year Old Bot.1970s']"
Single Malt,Glenrothes,"['Glenrothes 2001 Bot.2014 Small Bottle', 'Glenrothes Select Reserve Small Bottle', 'Glenrothes 1991 Bot.2012 Small Bottle', ""Glenrothes 8 Year Old Macphail's Collection"", 'Glenrothes 10 Year Old', 'Glenrothes 12 Year Old', 'Glenrothes 2011 7 Year Old Carn Mor', 'Glenrothes Bourbon Cask Reserve', 'Glenrothes Peated Cask Reserve', 'Glenrothes Sherry Cask Reserve', ""Glenrothes Whisky Maker's Cut"", 'Glenrothes 2001 Glass Pack', 'Glenrothes 1997 19 Year Old Cask 15973 The Ultimate', 'Glenrothes 11 Year Old Valinch & Mallet', 'Glenrothes 2006 12 Year Old Old Particular', 'Glenrothes 1995 American Oak', 'Glenrothes 18 Year Old', 'Glenrothes 1995 Bot.2014', 'Glenrothes 1995 Bot.2016', 'Glenrothes 1996 21 Year Old Signatory']"
Single Malt,Glentauchers,"['Glentauchers 2004 Bot.2018 G&M Distillery Labels', 'Glentauchers 2008 10 Year Old North Star', 'Glentauchers 19 Year Old Art of Whisky Bottling', ""Glentauchers 1996 20 Year Old Claxton's"", 'Glentauchers 1997 20 Year Old Signatory', 'Glentauchers 1997 20 Year Old Signatory', 'Glentauchers 1996 21 Year Old Berry Bros & Rudd', 'Glentauchers 1996 21 Year Old Valinch & Mallet', 'Glentauchers 1992 25 Year Old Daily Dram', 'Glentauchers 1997 19 Year Old Jack Wiebers Fighting Fish', 'Glentauchers 1991 27 Year Old Sherry Cask Con. Choice', 'Glentauchers 1979 Gordon & Macphail', 'Glentauchers 1979 Centenary Bot.1998 Gordon & MacPhail', 'Glentauchers 12 Year Old Bot.1980s']"
Single Malt,Glenturret,"['Glenturret 2005 12 Year Old Old Particular', 'Glenturret 2004 Sherry Cask Con. Choice TWE Exclusive', 'Glenturret 1975 8 Year Old Bicentenary', 'Glenturret 21 Year Old Gold Ceramic Jug', 'Glenturret (Tayside) 8 Year Old Bot.1970s', 'Glenturret 8 Year Old Bot.1970s', 'Glenturret 8 Year Old Bot.1970s', 'Glenturret 8 Year Old Bot.1970s', 'Glenturret 1977 34 Year Old The Master of Malt', 'Glenturret 1977 34 Year Old Scotia Royale', 'Glenturret 7 Year Old Bot.1970s', 'Glenturret 7 Year Old Bot.1970s', ""Glenturret 1965 12 Year Old Cadenhead's"", ""Glenturret 1965 21 Year Old Cadenhead's"", 'Glenturret 1966 Bot.1993', 'Glenturret 1966 Bot.1990', 'Glenturret 1965 Bot.1980s']"
Single Malt,Glenugie,"['Glenugie 1980 Tir Nan Og For Scotch Malt Sales', 'Glenugie 1967 Connoisseurs Choice', 'Glenugie 1967 Bot.1997 Connoisseurs Choice', 'Glenugie 1976 26 Year Old Old Malt Cask', 'Glenugie 1966 Bot.1991 Connoisseurs Choice', 'Glenugie 1966 Connoisseurs Choice', 'Glenugie 1977 31 Year Old Oloroso Finish Signatory', 'Glenugie 1976 25 Year Old Signatory', 'Glenugie 1976 27 Year Old Signatory', 'Glenugie 1980 30 Year Old Deoch an Doras', 'Glenugie 1965 23 Year Old Hart Brothers', 'Glenugie 1966 Bot.1980s Connoisseurs Choice', 'Glenugie 1966 Bot.1991 Connoisseurs Choice', 'Glenugie 1977 32 Year Old Sherry Finish Signatory', 'Glenugie 1965 23 Year Old Hart Brothers', 'Glenugie 1966 Bot.1994 Connoisseurs Choice', 'Glenugie 1966 16 Year Old Connoisseurs Choice', 'Glenugie 1977 26 Year Old Murray McDavid', ""Glenugie 1978 13 Year Old Cadenhead's"", 'Glenugie 5 Year Old Bot.1980s']"
Single Malt,Glenury Royal ,"['Glenury Royal 1984 Bot.2012 Gordon & Macphail', 'SMWS 75.4 1979 14 Year Old', 'Glenury Royal 1984 20 Year Old Duncan Taylor', 'Glenury Royal 1984 23 Year Old Duncan Taylor', 'Glenury 1978 14 Year Old Cask 9776-79', 'Glenury Royal 1970 36 Year Old', 'Glenury Royal 1973 24 Year Old Silent Stills', 'Glenury Royal 1975 23 Year Old Signatory', 'Glenury Royal 1973 30 Year Old Sherry Cask Signatory', 'Glenury Royal 1975 26 Year Old Signatory', 'Glenury Royal 1975 24 Year Old Signatory', 'Glenury Royal 1968 36 Year Old', 'Glenury Royal 1970 29 Year Old Rare Malts', 'Glenury Royal 1971 23 Year Old Rare Malts', 'Glenury Royal 1970 29 Year Old Rare Malts', 'Glenury Royal 1970 29 Year Old Rare Malts', 'Glenury Royal 1971 23 Year Old Rare Malts', 'Glenury Royal 1970 28 Year Old Rare Malts', 'Glenury Royal 1970 40 Year Old', 'Glenury Royal 1953 50 Year Old Dark Sherry']"
Single Malt,Hazelburn,['Hazelburn 13 Year Old Sherry Wood 2018 Release']
Single Malt,Highland Harvest,"['Highland Harvest Organic Single Malt', 'Highland Harvest Organic Sauternes Finish']"
